"CountName","Date","State","Lat","Lng","ScientificName","NumSeen","Parties","Party_Hours"
"BoyceThompsonArboretum",2009-09-12,"AZ",33.295,-111.0946,"Danaus plexippus",7,"4",9.5
"BoyceThompsonArboretum",2010-09-11,"AZ",33.295,-111.0946,"Danaus plexippus",1,"3",12
"BoyceThompsonArboretum",2011-09-10,"AZ",33.295,-111.0946,"Danaus plexippus",3,"4",25
"BoyceThompsonArboretum",2012-09-15,"AZ",33.295,-111.0946,"Danaus plexippus",1,"3",14
"BoyceThompsonArboretum",2013-09-07,"AZ",33.295,-111.0946,"Danaus plexippus",4,"3",16
"BoyceThompsonArboretum",2014-09-06,"AZ",33.295,-111.0946,"Danaus plexippus",1,"3",10.5
"BoyceThompsonArboretum",2015-09-12,"AZ",33.295,-111.0946,"Danaus plexippus",3,"3",12
"BoyceThompsonArboretum",2017-09-09,"AZ",33.295,-111.0946,"Danaus plexippus",6,"4",12
"BoyceThompsonArboretum",2018-09-08,"AZ",33.295,-111.0946,"Danaus plexippus",5,"3",9
"ButterbredtJawboneKelso",2008-04-30,"CA",35.4306,-118.2188,"Danaus plexippus",2,"1",7.5
"ButterflyValley",2017-07-04,"CA",39.968,-120.952,"Danaus plexippus",1,"3",19.5
"CalWoodOutdoorLearningCenterCO",1987-07-03,"CO",40.15,-105.3902,"Danaus plexippus",1,"1",4
"CalWoodOutdoorLearningCenterCO",1989-07-04,"CO",40.15,-105.3902,"Danaus plexippus",4,"1",4.5
"CalWoodOutdoorLearningCenterCO",1990-07-04,"CO",40.15,-105.3902,"Danaus plexippus",1,"1",4.5
"CalWoodOutdoorLearningCenterCO",1991-07-03,"CO",40.15,-105.3902,"Danaus plexippus",1,"1",4.5
"CalWoodOutdoorLearningCenterCO",2000-07-04,"CO",40.15,-105.3902,"Danaus plexippus",1,"2",6
"CalWoodOutdoorLearningCenterCO",2001-07-04,"CO",40.15,-105.3902,"Danaus plexippus",1,"3",8.5
"CalWoodOutdoorLearningCenterCO",2003-07-04,"CO",40.15,-105.3902,"Danaus plexippus",2,"5",28
"CalWoodOutdoorLearningCenterCO",2007-07-04,"CO",40.15,-105.3902,"Danaus plexippus",2,"5",30
"CalWoodOutdoorLearningCenterCO",2010-07-02,"CO",40.15,-105.3902,"Danaus plexippus",3,"7",45.5
"CalWoodOutdoorLearningCenterCO",2012-07-04,"CO",40.15,-105.3902,"Danaus plexippus",1,"5",7
"CalWoodOutdoorLearningCenterCO",2014-07-04,"CO",40.15,-105.3902,"Danaus plexippus",1,"5",25.5
"CalWoodOutdoorLearningCenterCO",2015-07-04,"CO",40.0786,-105.4027,"Danaus plexippus",3,"8",60
"CamasNationalWildlifeRefugeID",2005-07-06,"ID",43.9653,-112.2643,"Danaus plexippus",7,"1",6.5
"CamasNationalWildlifeRefugeID",2006-07-20,"ID",43.9653,-112.2643,"Danaus plexippus",15,"unk",6
"CamasNationalWildlifeRefugeID",2007-06-16,"ID",43.9653,-112.2643,"Danaus plexippus",6,"unk",6
"CamasNationalWildlifeRefugeID",2008-06-27,"ID",43.9653,-112.2643,"Danaus plexippus",2,"1",7
"CamasNationalWildlifeRefugeID",2010-07-21,"ID",43.9653,-112.2643,"Danaus plexippus",1,"1",6
"CamasNationalWildlifeRefugeID",2011-07-06,"ID",43.9653,-112.2643,"Danaus plexippus",5,"1",6
"CamasNationalWildlifeRefugeID",2013-06-27,"ID",43.9653,-112.2643,"Danaus plexippus",2,"1",6
"CamasNationalWildlifeRefugeID",2014-06-26,"ID",43.9653,-112.2643,"Danaus plexippus",2,"1",6
"CamasNationalWildlifeRefugeID",2015-07-02,"ID",43.9653,-112.2643,"Danaus plexippus",6,"1",6
"CamasNationalWildlifeRefugeID",2016-06-30,"ID",43.9653,-112.2643,"Danaus plexippus",23,"2",8
"CamasNationalWildlifeRefugeID",2017-07-05,"ID",43.9653,-112.2643,"Danaus plexippus",2,"1",6
"CamasNationalWildlifeRefugeID",2018-06-29,"ID",43.9653,-112.2643,"Danaus plexippus",6,"2",8
"ChatfieldNaturePreserveCO",1992-07-11,"CO",39.88,-105.17,"Danaus plexippus",1,"1",4.8
"ChatfieldNaturePreserveCO",1994-07-16,"CO",39.88,-105.17,"Danaus plexippus",2,"1",4.5
"ChatfieldNaturePreserveCO",1995-07-22,"CO",39.88,-105.17,"Danaus plexippus",1,"1",3.5
"ChatfieldNaturePreserveCO",1997-07-19,"CO",39.88,-105.17,"Danaus plexippus",1,"unk",3.5
"ChatfieldNaturePreserveCO",2001-07-14,"CO",39.88,-105.17,"Danaus plexippus",4,"1",3.5
"ChatfieldNaturePreserveCO",2002-07-13,"CO",39.88,-105.17,"Danaus plexippus",1,"1",3
"CosumnesRiverCA",1994-06-18,"CA",38.3503,-121.4358,"Danaus plexippus",2,"2",6
"CosumnesRiverCA",1995-06-17,"CA",38.3503,-121.4358,"Danaus plexippus",1,"2",5
"CosumnesRiverCA",1996-06-22,"CA",38.3503,-121.4358,"Danaus plexippus",38,"2",10.5
"CosumnesRiverCA",1997-06-28,"CA",38.3503,-121.4358,"Danaus plexippus",27,"3",9
"CosumnesRiverCA",1998-06-20,"CA",38.3503,-121.4358,"Danaus plexippus",45,"3",17.5
"CosumnesRiverCA",1999-06-26,"CA",38.3503,-121.4358,"Danaus plexippus",8,"3",14.5
"CosumnesRiverCA",2000-06-24,"CA",38.3503,-121.4358,"Danaus plexippus",11,"3",12
"CosumnesRiverCA",2001-06-23,"CA",38.3503,-121.4358,"Danaus plexippus",7,"3",15
"CosumnesRiverCA",2002-06-29,"CA",38.3503,-121.4358,"Danaus plexippus",3,"3",14
"CosumnesRiverCA",2003-06-21,"CA",38.3503,-121.4358,"Danaus plexippus",1,"3",15.5
"CosumnesRiverCA",2004-06-19,"CA",38.3503,-121.4358,"Danaus plexippus",8,"2",12.8
"CosumnesRiverCA",2005-06-19,"CA",38.3503,-121.4358,"Danaus plexippus",8,"2",8
"CosumnesRiverCA",2006-06-24,"CA",38.3503,-121.4358,"Danaus plexippus",6,"2",11
"CosumnesRiverCA",2007-06-16,"CA",38.3503,-121.4358,"Danaus plexippus",26,"3",12
"CosumnesRiverCA",2009-06-21,"CA",38.3503,-121.4358,"Danaus plexippus",1,"3",9
"CosumnesRiverCA",2010-06-13,"CA",38.3503,-121.4358,"Danaus plexippus",1,"4",13.5
"CosumnesRiverCA",2012-06-17,"CA",38.3503,-121.4358,"Danaus plexippus",1,"2",10.5
"CosumnesRiverCA",2015-06-13,"CA",38.3503,-121.4358,"Danaus plexippus",15,"2",7
"CosumnesRiverCA",2016-06-18,"CA",38.3503,-121.4358,"Danaus plexippus",10,"2",12
"CosumnesRiverCA",2017-06-17,"CA",38.3503,-121.4358,"Danaus plexippus",4,"2",7
"Cottonwood",2017-09-04,"AZ",34.738,-112.0353,"Danaus plexippus",18,"2",8
"Cottonwood",2018-08-30,"AZ",34.738,-112.0353,"Danaus plexippus",3,"1",7
"CottonwoodSpringCA",2009-03-28,"CA",33.7441,-115.8173,"Danaus plexippus",1,"4",30
"DardenellesCA",1982-07-04,"CA",38.3411,-119.8333,"Danaus plexippus",2,"1",5
"DardenellesCA",1983-07-03,"CA",38.3411,-119.8333,"Danaus plexippus",1,"1",6
"DardenellesCA",1984-07-08,"CA",38.3411,-119.8333,"Danaus plexippus",5,"4",28
"DardenellesCA",1986-07-19,"CA",38.3411,-119.8333,"Danaus plexippus",1,"1",5
"DardenellesCA",1987-06-30,"CA",38.3411,-119.8333,"Danaus plexippus",10,"2",10
"DardenellesCA",1988-06-25,"CA",38.3411,-119.8333,"Danaus plexippus",1,"1",6
"DardenellesCA",1989-07-15,"CA",38.3411,-119.8333,"Danaus plexippus",20,"2",10
"DardenellesCA",1990-07-14,"CA",38.3411,-119.8333,"Danaus plexippus",7,"2",12
"DardenellesCA",1991-07-13,"CA",38.3411,-119.8333,"Danaus plexippus",11,"3",15
"DardenellesCA",1994-07-09,"CA",38.3411,-119.8333,"Danaus plexippus",2,"2",12
"DardenellesCA",1995-07-22,"CA",38.3411,-119.8333,"Danaus plexippus",2,"3",18
"DardenellesCA",1996-07-06,"CA",38.3411,-119.8333,"Danaus plexippus",3,"3",18
"DardenellesCA",1997-07-05,"CA",38.3411,-119.8333,"Danaus plexippus",12,"3",18
"DardenellesCA",1998-07-18,"CA",38.3411,-119.8333,"Danaus plexippus",6,"3",18
"DardenellesCA",2000-07-22,"CA",38.3411,-119.8333,"Danaus plexippus",5,"2",12
"DardenellesCA",2001-07-21,"CA",38.3411,-119.8333,"Danaus plexippus",3,"2",12
"DardenellesCA",2002-07-13,"CA",38.3411,-119.8333,"Danaus plexippus",2,"2",12
"DardenellesCA",2003-07-19,"CA",38.3411,-119.8333,"Danaus plexippus",1,"2",14
"DardenellesCA",2004-07-24,"CA",38.3411,-119.8333,"Danaus plexippus",13,"4",16
"DardenellesCA",2005-07-16,"CA",38.3411,-119.8333,"Danaus plexippus",2,"2",14
"DardenellesCA",2006-07-29,"CA",38.3411,-119.8333,"Danaus plexippus",1,"3",7.5
"DardenellesCA",2008-07-19,"CA",38.3411,-119.8333,"Danaus plexippus",3,"4",26
"DardenellesCA",2009-07-18,"CA",38.3411,-119.8333,"Danaus plexippus",1,"4",24
"DardenellesCA",2010-07-24,"CA",38.3411,-119.8333,"Danaus plexippus",3,"4",22
"ElDoradoNatureCenterCA",2005-06-25,"CA",33.8095,-118.0869,"Danaus plexippus",5,"1",5
"ElDoradoNatureCenterCA",2006-06-24,"CA",33.8095,-118.0869,"Danaus plexippus",12,"unk",4.5
"ElDoradoNatureCenterCA",2007-06-30,"CA",33.8095,-118.0869,"Danaus plexippus",12,"unk",4.5
"ElDoradoNatureCenterCA",2008-06-28,"CA",33.8095,-118.0869,"Danaus plexippus",7,"1",5
